tx_hash,datetime_utc,direction,matched_counterparty,value_bnb,usd_at_tx_time,usd_at_today_rate,from_addr,to_addr
0x4d37e1683339decfaf750249331ff0bcb33d740712b2415fa08a6d162bbe749c,2025-04-06 23:52:04,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.021567571,14.00,14.21,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xdbfedff79c761492eb5fd8edb12fc9d888fbc283057405a8fc1f5044597282cd,2023-07-09 13:19:20,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.025,16.23,16.47,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xaa329068dd1fd4d7fb542d5d8f760b67e99bc4bf21c668f7ee497321d5455a5b,2023-07-06 12:00:57,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.75,486.85,494.11,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xdd6f882284e5f2ef2bf763b33f881cd02d14640482dbc5a01bfb0e6c20311cc3,2023-06-29 16:03:50,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.5,324.57,329.40,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x21c9d72153e1b0e9d7d38c0fa0aaaa3d5f2f1100245c90fe31ede170121cdc05,2023-06-04 14:22:30,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.17,110.35,112.00,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x4b3fe5b8a3a83a5832ad69991ec1ad4a22ecf836c540664fb8734443094a7d51,2023-06-01 11:36:16,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.04,25.97,26.35,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x995ec1a96d69014c381cb995c98c3f8194aaee8a8e657fe2bf1be68a226d14cf,2023-05-28 22:12:44,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,1,649.14,658.81,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xe8fd9c9c460b7e1e8dec88781e23229982fa2a5e0b879deb65283bfe464385a4,2023-05-26 5:01:39,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.18,116.85,118.59,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x4b8aae51d2f6504360668c4380f822ad3b385027ec65f5c4a29c310b2707ae39,2023-05-03 19:49:48,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.04506431,29.25,29.69,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xe9311bdab1277b1e7b014bbea6489f1cf05709a7a7547f2a9859ef198ed697ad,2023-04-17 22:00:20,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,3.17675588,2062.16,2092.88,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x0640ceaf901c0e62fa3a632b0bc7b8e04e617dd92769b4694f7486cb42e23b66,2023-04-17 14:13:15,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,1.5,973.71,988.21,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x1ca45bb993bcc131c699c7acbd21c87a97976fb65267f8291ea90a5235ec8ea4,2023-04-15 0:44:02,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.1,64.91,65.88,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x00380e542d6b63fda79a774b3d9c755fd4f1dad55315ac223a8e9d97a537af8d,2023-04-14 21:03:30,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.2,129.83,131.76,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xb2b4206626a1ab878fac70374efb3c36b27109368c3ff358e65fff3aac1fdd32,2023-04-13 23:35:57,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.6,389.48,395.29,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xe0a8e1e1599d2baafd6afd207a05802ae21f32373aff5858294978a99b68bef7,2023-04-13 19:20:18,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.13,84.39,85.65,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
