component_type,manufacturer,model,variant,spec_detail,listing_count,notes
CPU,[Parsed from title],Ryzen 5 5600,,,12,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-6500,,,11,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 10400F,,,7,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 5500,,,7,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 3600,,,7,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 5 5600X,,,6,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-8500,,,6,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-6700,,,5,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 5600X,,,5,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-9500,,,5,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I7-10700,,,5,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-8500,,,5,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7-4790,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-10500T,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7-6700,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 3 2200G,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-7500,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-7500T,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 7 5700X3D,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 5 5600,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-9700,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 5600G,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-9500,,,4,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 8400,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-4590T,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 4590,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-9700K,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 2600,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 5 5600G,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-8500T,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 9 7900X,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-10700,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-7500,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Xeon E5-2695V4,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Core I3-10100T,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Xeon E5-1650,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Core I5-9500,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-12500,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7 10700,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-8700,,,3,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 7 3700X,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-14500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-8500T,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-10400F,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 3 4100,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I7-12700T,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-9400F,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-8700K,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-7700K,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-10500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-13500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Core I5-7500T,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 4500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-10505,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7 8700,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 7500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5 4570,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-10500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-12500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7-9700,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-6600,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 5 3600,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-8100T,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-9400,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-9500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 9400F,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7-3770,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I7-6700,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-12700Kf,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-10500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-8500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5 6500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-14500T,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-8100,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 7 3700X,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 3 2200G,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-7100,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 9500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-11400T,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 2400G,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 7 7800X3D,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 3600X,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 1600,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-6500,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-9400,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-4590S,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Core I7-6700,,,2,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Core I7-8700,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5 12400F,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I3-4130,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 3600Xt,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 7 5700X,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7 2600,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 Pro 4650G,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-6700T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-9500T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-14500T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-6600,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I3-10100,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 3400G,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 9400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-10500T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 5 Pro 4650G,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Xeon E5-1650,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I3-6100T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Ryzen 7 5700X,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Xeon E3-1226,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7 10700,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-8300T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 7400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Core I7-3770,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Core I5-2400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-3340,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-2400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-10400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I5-11500T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-6400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-11400F,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-8700T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7 8700,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7-13700,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Xeon E3 1230V6,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I9-10850K,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 Pro 2400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7 8700K,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I7-3770S,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Xeon E3-1226,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 5 2600X,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7-8700,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-9600K,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I3-10100T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5 10500T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Amd Athlon 3000,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Xeon E5-2650,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3 6100,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Xeon 2X,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-3470,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-4150,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-13500T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7-12700,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-13100T,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Xeon E5-2620,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Ryzen 9 7900,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I5-6600K,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I7 4770,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel I5-8400,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],Intel Core I7 4790S,,,1,Stored as: Listing.cpu (String)
CPU,[Parsed from title],I3-9100,,,1,Stored as: Listing.cpu (String)
