component_type,component_model,listing_count
CPU,Ryzen 5 5600,12
CPU,I5-6500,11
CPU,Ryzen 5 3600,7
CPU,Ryzen 5 5500,7
CPU,I5 10400F,7
CPU,Amd Ryzen 5 5600X,6
CPU,I5-8500,6
CPU,Intel Core I5-8500,5
CPU,Intel I7-10700,5
CPU,Ryzen 5 5600X,5
CPU,I5-9500,5
CPU,I7-6700,5
CPU,Ryzen 5 5600G,4
CPU,Amd Ryzen 7 5700X3D,4
CPU,Intel Core I5-9500,4
CPU,I5-7500T,4
CPU,Amd Ryzen 3 2200G,4
CPU,Intel Core I7-4790,4
CPU,I5-7500,4
CPU,I7-9700,4
CPU,I5-10500T,4
CPU,Intel Core I7-6700,4
CPU,Amd Ryzen 5 5600,4
CPU,I5 4590,3
CPU,I7-8700,3
CPU,I5-4590T,3
CPU,I7-10700,3
CPU,Core I3-10100T,3
CPU,I5-8500T,3
CPU,Intel Xeon E5-1650,3
CPU,I7-9700K,3
CPU,Amd Ryzen 5 5600G,3
CPU,I5 8400,3
CPU,I5-12500,3
CPU,I7 10700,3
CPU,Core I5-9500,3
CPU,Intel Core I5-7500,3
CPU,Amd Ryzen 9 7900X,3
CPU,Ryzen 5 2600,3
CPU,Intel Xeon E5-2695V4,3
CPU,Intel Core I7-9700,2
CPU,I3-8100T,2
CPU,Intel Core I5-13500,2
CPU,Intel I7-12700T,2
CPU,Intel I5-9400F,2
CPU,Amd Ryzen 7 7800X3D,2
CPU,Intel I5-8500,2
CPU,Ryzen 5 2400G,2
CPU,Ryzen 3 4100,2
CPU,I3-8100,2
GPU,GTX 1650,16
GPU,GTX 1660,13
GPU,RTX 2060,8
GPU,RTX 2070 SUPER,6
GPU,RX 580 8GB,5
GPU,GTX 1060,5
GPU,GTX 1050 TI,4
GPU,RTX 3050,4
GPU,GTX 1070 8GB,4
GPU,GTX 1070,4
GPU,GTX 1050 TI 4GB,3
GPU,RX 580,3
GPU,RTX 3050 8GB,3
GPU,GTX 960,2
GPU,GTX 1050TI,2
GPU,GTX 1080 8GB,2
GPU,RTX 3050 16GB,2
GPU,GTX 970,2
GPU,GT 730,2
GPU,QUADRO P4000,2
GPU,RX 570 8GB,2
GPU,RX580,2
GPU,GT710,2
GPU,RX 6500 XT,2
GPU,RTX 2060 SUPER 8GB,1
GPU,QUADRO P620,1
GPU,RX 560 16GB,1
GPU,GTX1080 16GB,1
GPU,RTX 2070 SUPER 8GB,1
GPU,GTX 1080 TI 11GB,1
GPU,RADEON TX750,1
GPU,GTX1660,1
GPU,GTX 750 TI 240GB,1
GPU,QUADRO K5200,1
GPU,RTX2080TI,1
GPU,QUADRO P2000,1
GPU,RX570 240GB,1
GPU,RTX 2060 512GB,1
GPU,GTX960,1
GPU,GTX 980,1
GPU,GTX 1080TI 11GB,1
GPU,GTX 1080,1
GPU,RTX 4060,1
GPU,RX 6600,1
GPU,RTX 3060,1
GPU,RTX 2060 SUPER,1
GPU,QUADRO M2000,1
GPU,GTX 660,1
GPU,QUADRO K4200,1
GPU,RX6600 8GB,1
