month,paid_in_gbp_from_binance,SAFUU,SAFUUX,SGO,VUL,VITRUVEO,SFU,SFX,VTRX
2022-02,1175.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,3844.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,2164.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05,4387.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,7485.45,4831.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08,16259.42,16335.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09,10193.3,11480.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10,4935.55,7922.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11,2046.92,8418.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12,63.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02,176.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,807.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04,2338.75,7070.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05,7.59,1935.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,3102.22,0.0,0.0,26990.8,0.0,0.0,0.0,0.0,0.0
2023-07,4.8,0.0,0.0,17251.13,0.0,0.0,0.0,0.0,0.0
2025-08,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
