friendly_tag,address
1inch: Router V4,0x1111111254fb6c44bac0bed2854e76f90643097d
AnySwap: Bridge Avalanche,0xb1cb88b1a1992deb4189ea4f566b594c13392ada
Anyswap: Bridge Fantom,0x4b3b4120d4d7975455d8c2894228789c91a247f8
Anyswap: Polygon Bridge,0x171a9377c5013bb06bca8cfe22b9c007f2c319f1
Aster: Trading,0x1b6f2d3844c6ae7d56ceb3c3643b9060ba28feb0
Aster: Treasury,0x128463a60784c4d3f46c23af3f65ed859ba87974
BabySwap: BABY Token,0x53e562b9b7e5e94b81f10e96ee70ad06df3d2657
Beefy: BIFI Token,0xca3f508b8e4dd382ee878a314789373d80a5190a
Beefy: Staking Contract,0x453d4ba9a2d594314df88564248497f7d74d6b2c
Binance 47,0x3c783c21a0383057d128bae431894a5c19f9cf06
Binance 51,0x8894e0a0c962cb723c1976a4421c95949be2d4e3
Binance: BTCB Token,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c
Binance: BUSD Stablecoin,0xe9e7cea3dedca5984780bafc599bd69add087d56
Binance: Hot Wallet 10,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb
Binance: Hot Wallet 11,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645
Binance: Hot Wallet 12,0x515b72ed8a97f42c568d6a143232775018f133c8
Binance: Hot Wallet 13,0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774
Binance: Hot Wallet 16,0xa180fe01b906a1be37be6c534a3300785b20d947
Binance: Hot Wallet 17,0x29bdfbf7d27462a2d115748ace2bd71a2646946c
Binance: Hot Wallet 18,0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f
Binance: Hot Wallet 19,0x1fbe2acee135d991592f167ac371f3dd893a508b
Binance: Hot Wallet 23,0x01c952174c24e1210d26961d456a77a39e1f0bb0
Binance: Withdrawals 2,0xdccf3b77da55107280bd850ea519df3705d1a75a
Binance: Withdrawals 7,0xe2fc31f816a9b94326492132018c3aecc4a93ae1
Biswap: BSW Token,0x965f527d9159dce6288a2219db51fc6eef120dd1
Biswap: LP Contract 3,0xc7dc9343c90be0ea2af6776efe5e19b2734f8d0d
Biswap: Router,0x3a6d8ca21d1cf76f653a67577fa0d27453350dd8
Bitget 3,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689
BNB Chain: WBNB Token,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
Bogged Finance: Proxy,0xb099ed146fad4d0daa31e3810591fc0554af62bb
Bomb Crypto: BCOIN Token,0x00e1656e45f18ec6747f5a8496fd39b50b38396d
BOMB Money: BOMB Token,0x522348779dcb2911539e76a1042aa922f9c47ee3
BOMB Money: BSHARE Token,0x531780face85306877d7e1f05d713d1b50a37f7a
BUSD-T Stablecoin,0x55d398326f99059ff775485246999027b3197955
Chainlink : LINK Token,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd
Crypto Fight Club: FIGHT Token,0x4f39c3319188a723003670c3f9b9e7ef991e52f3
deBridge: Crosschain Forwarder Proxy,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251
Dibs.Money: DIBS Token,0xfd81ef21ea7cf1dc00e9c6dd261b4f3be0341d5c
Dibs.Money: DSHARE Token,0x26d3163b165be95137cee97241e716b2791a7572
Ethereum: ETH Token,0x2170ed0880ac9a755fd29b2688956bd959f933f8
Fantom: FTM Token,0xad29abb318791d579433d831ed122afeaf29dcfe
Justus Token: JTT Token,0xcdb3d3642fb4d48d2b5e4fb4a014448a2761c063
MetaMask: Gas Station 2,0xb01caea8c6c47bbf4f4b4c5080ca642043359c2e
Metamask: Swap Router,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31
Multichain: Router V4,0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3
MyShell: SHELL Token,0xf2c88757f8d03634671208935974b60a2a28bdb3
