month,token_symbol,tx_count,money_into_token_bnb,money_out_of_token_bnb,net_token_flow_bnb,money_into_token_usd_then,money_out_of_token_usd_then,net_token_flow_usd_then,money_into_token_usd_today,money_out_of_token_usd_today,net_token_flow_usd_today
2022-05,SAFUU,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,SAFUU,6,9.00921943,0.0,9.00921943,5850.21,0.0,5850.21,5935.36,0.0,5935.36
2022-08,SAFUU,16,30.482,0.0,30.482,19787.07,0.0,19787.07,20081.85,0.0,20081.85
2022-09,SAFUU,23,20.43,0.0,20.43,13265.55,0.0,13265.55,13459.49,0.0,13459.49
2022-10,SAFUU,40,13.66,0.0,13.66,8869.09,0.0,8869.09,8999.34,0.0,8999.34
2022-11,SAFUU,13,15.37493214,0.0,15.37493214,9981.06,0.0,9981.06,10129.16,0.0,10129.16
2022-12,SAFUU,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01,SAFUU,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04,SAFUU,11,13.55718296,0.0,13.55718296,8800.51,0.0,8800.51,8931.61,0.0,8931.61
2023-05,SAFUU,12,3.68469369,0.0,3.68469369,2391.87,0.0,2391.87,2427.51,0.0,2427.51
2023-05,SGO,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,SAFUU,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,SGO,75,52.8968757,0.0,52.8968757,34337.44,0.0,34337.44,34848.99,0.0,34848.99
2023-07,SGO,61,33.67932963,0.0,33.67932963,21862.59,0.0,21862.59,22188.28,0.0,22188.28
