source,term,found,new,error_events,events
BidSpotter,Dell OptiPlex,120,0,0,2
BidSpotter,HP EliteDesk,120,0,0,2
BidSpotter,Lenovo ThinkCentre,120,0,0,2
BidSpotter,computer tower,120,0,0,2
BidSpotter,cpu bundle,120,0,0,2
BidSpotter,ddr4 ram,120,0,0,2
BidSpotter,desktop pc,120,0,0,2
BidSpotter,gaming computer,120,0,0,2
BidSpotter,gaming pc,120,0,0,2
BidSpotter,graphics card,120,0,0,2
BidSpotter,i5 desktop,120,0,0,2
BidSpotter,i7 desktop,120,0,0,2
BidSpotter,motherboard,120,0,0,2
BidSpotter,nvme ssd,120,0,0,2
BidSpotter,office pc,120,0,0,2
BidSpotter,pc case,120,0,0,2
BidSpotter,power supply,120,0,0,2
BidSpotter,refurbished pc,120,0,0,2
BidSpotter,workstation,120,0,0,2
BidSpotter,7700x b650,60,0,0,1
BidSpotter,motherboard cpu combo,60,0,0,1
Facebook Marketplace,pc tower,44,44,0,2
Facebook Marketplace,Dell OptiPlex,40,40,0,2
Facebook Marketplace,gaming pc,40,40,0,2
Facebook Marketplace,desktop pc,28,28,0,2
Facebook Marketplace,HP workstation,24,24,0,1
Facebook Marketplace,pc spares or repair,22,22,0,1
Facebook Marketplace,pc quick sale,20,20,0,1
Facebook Marketplace,HP EliteDesk,19,19,0,1
Facebook Marketplace,Lenovo ThinkCentre,19,19,0,1
Facebook Marketplace,pc untested,19,19,0,1
Facebook Marketplace,Dell workstation,18,18,0,1
Facebook Marketplace,pc need gone,18,18,0,1
Facebook Marketplace,i7 tower,17,17,0,1
Facebook Marketplace,pc no hard drive,17,17,0,1
Facebook Marketplace,pc liquid cooler,16,16,0,1
Facebook Marketplace,pc tower no graphics,16,16,0,1
Facebook Marketplace,ryzen 7 desktop,16,16,0,1
Facebook Marketplace,old pc clearing out,14,14,0,1
Facebook Marketplace,i7 desktop,13,13,0,1
Facebook Marketplace,gaming pc no gpu,12,12,0,1
John Pye,Dell OptiPlex,0,0,2,2
John Pye,HP EliteDesk,0,0,2,2
John Pye,computer tower,0,0,2,2
John Pye,desktop pc,0,0,2,2
John Pye,gaming pc,0,0,2,2
John Pye,workstation,0,0,2,2
Wilsons Auctions,Dell OptiPlex,2,0,0,2
Wilsons Auctions,HP EliteDesk,2,0,0,2
Wilsons Auctions,Lenovo ThinkCentre,2,0,0,2
Wilsons Auctions,computer tower,2,0,0,2
Wilsons Auctions,cpu bundle,2,0,0,2
Wilsons Auctions,ddr4 ram,2,0,0,2
Wilsons Auctions,desktop pc,2,0,0,2
Wilsons Auctions,gaming computer,2,0,0,2
Wilsons Auctions,gaming pc,2,0,0,2
Wilsons Auctions,graphics card,2,0,0,2
Wilsons Auctions,i5 desktop,2,0,0,2
Wilsons Auctions,i7 desktop,2,0,0,2
Wilsons Auctions,motherboard,2,0,0,2
Wilsons Auctions,nvme ssd,2,0,0,2
Wilsons Auctions,office pc,2,0,0,2
Wilsons Auctions,pc case,2,0,0,2
Wilsons Auctions,power supply,2,0,0,2
Wilsons Auctions,refurbished pc,2,0,0,2
Wilsons Auctions,workstation,2,0,0,2
Wilsons Auctions,7700x b650,1,0,0,1
Wilsons Auctions,motherboard cpu combo,1,0,0,1
eBay UK,gaming pc,120,96,0,2
eBay UK,computer tower,110,31,0,2
eBay UK,pc base unit,79,79,0,2
eBay UK,HP Z240,60,59,0,2
eBay UK,desktop pc,60,60,0,2
eBay UK,HP workstation,53,43,0,2
eBay UK,HP EliteDesk,44,44,0,2
eBay UK,Acer Veriton tower,0,0,0,2
eBay UK,Dell OptiPlex,0,0,0,2
eBay UK,Dell Precision tower,0,0,0,2
eBay UK,Dell Vostro tower,0,0,0,2
eBay UK,Dell workstation,0,0,0,2
eBay UK,Fujitsu Esprimo,0,0,0,2
eBay UK,HP Compaq tower,0,0,0,2
eBay UK,HP ProDesk,0,0,0,2
eBay UK,HP Z440,0,0,0,2
eBay UK,HP Z640,0,0,0,2
eBay UK,Lenovo ThinkCentre,0,0,0,2
eBay UK,Lenovo ThinkStation,0,0,0,2
eBay UK,bulk pcs desktop,0,0,0,2
eBay UK,compter tower,0,0,0,2
eBay UK,computre tower,0,0,0,2
eBay UK,deskptop pc,0,0,0,2
eBay UK,desktop computer no SSD,0,0,0,2
eBay UK,desktop faulty,0,0,0,2
eBay UK,desktop liquid cooled,0,0,0,2
eBay UK,desktop no gpu,0,0,0,2
eBay UK,desktop no os,0,0,0,2
eBay UK,desktop pcs lot,0,0,0,2
eBay UK,desktop spares or repair,0,0,0,2
eBay UK,desktop untested,0,0,0,2
eBay UK,destkop computer,0,0,0,2
eBay UK,destop pc,0,0,0,2
eBay UK,ex office pc,0,0,0,2
eBay UK,gaiming pc,0,0,0,2
eBay UK,gameing pc,0,0,0,2
eBay UK,gaming pc fault,0,0,0,2
eBay UK,gaming pc no gpu,0,0,0,2
eBay UK,gaming pc no graphics card,0,0,0,2
eBay UK,gaming pc no hard drive,0,0,0,2
eBay UK,gaming pc quick sale,0,0,0,2
eBay UK,gaming pc untested,0,0,0,2
eBay UK,gaming pc water cooled,0,0,0,2
eBay UK,gaming pc with aio,0,0,0,2
eBay UK,gamng pc,0,0,0,2
eBay UK,gamnig pc,0,0,0,2
eBay UK,gmaing pc,0,0,0,2
eBay UK,i5 10400 desktop,0,0,0,2
eBay UK,i5 desktop,0,0,0,2
eBay UK,i5 tower,0,0,0,2
eBay UK,i7 10700 desktop,0,0,0,2
eBay UK,i7 desktop,0,0,0,2
eBay UK,i7 tower,0,0,0,2
eBay UK,i9 desktop,0,0,0,2
eBay UK,i9 tower,0,0,0,2
eBay UK,it clearance desktop,0,0,0,2
eBay UK,office computers clearance,0,0,0,2
eBay UK,office pc tower,0,0,0,2
eBay UK,office tower pc,0,0,0,2
eBay UK,old computer quick sale,0,0,0,2
eBay UK,old pc clearing out,0,0,0,2
eBay UK,pc base unit no graphics,0,0,0,2
eBay UK,pc boots no display,0,0,0,2
eBay UK,pc collect today,0,0,0,2
eBay UK,pc faulty,0,0,0,2
eBay UK,pc free to good home,0,0,0,2
eBay UK,pc job lot,0,0,0,2
eBay UK,pc liquid cooler,0,0,0,2
eBay UK,pc need gone today,0,0,0,2
eBay UK,pc no display,0,0,0,2
eBay UK,pc no hard drive,0,0,0,2
eBay UK,pc no longer needed,0,0,0,2
eBay UK,pc no operating system,0,0,0,2
eBay UK,pc no os,0,0,0,2
eBay UK,pc no power supply,0,0,0,2
eBay UK,pc no psu,0,0,0,2
