category,rank,asin,title,cpk,price,rrp,rating,review_count,sales_velocity,url,captured_at
case,1,B0D2MK6NML,"NZXT H5 Flow - Compact ATX Mid-Tower PC Case - Black | Compact mid-tower with 2 included 120mm fans, 360mm front radiator sup",4dda9451fba4311f,49.99,,4.6,1197,,https://www.amazon.co.uk/NZXT-H5-Flow-Mid-Tower-Management/dp/B0D2MK6NML/ref=zg_bs_g_430498031_d_sccl_1/522-1500010-1872250,2026-09-25T16:02:01.344416
case,2,B0CZVDHZFD,CORSAIR iCUE LINK 3500X RGB Mid-Tower ATX PC Case – Panoramic Tempered Glass – Reverse Connection Motherboard Compatible – 3x,,81.38,,4.7,664,,https://www.amazon.co.uk/CORSAIR-iCUE-LINK-3500X-Mid-Tower/dp/B0CZVDHZFD/ref=zg_bs_g_430498031_d_sccl_2/522-1500010-1872250,2026-09-25T16:02:01.344419
case,3,B0C89FCDFP,NZXT H6 Flow | CC-H61FB-01 | Compact Dual-Chamber Mid-Tower Airflow Case | Panoramic Glass Panels | High-Performance Airflow,37332d31d1f26727,59.99,,4.8,3070,,https://www.amazon.co.uk/NZXT-CC-H61FB-01-Dual-Chamber-High-Performance-Management/dp/B0C89FCDFP/ref=zg_bs_g_430498031_d_sccl_3/522-1500010-1872250,2026-09-25T16:02:01.344420
case,4,B0FWCHZCTV,"PCZZOI ARGB Panoramic Mid-Tower PC Case – 7x Pre-Installed Fans, Mid Tower Computer Case with Full-View Dual Tempered Glass,",5b188734e3dbfc3d,50.99,,4.4,117,,https://www.amazon.co.uk/PCZZOI-Pre-Installed-Computer-Full-View-P4-Black-7-Infinity-Mirror-PWM-ARGB-CASE-Fans/dp/B0FWCHZCTV/ref=zg_bs_g_430498031_d_sccl_4/522-1500010-1872250,2026-09-25T16:02:01.344421
case,5,B0FJ2ZBK8J,"CORSAIR 3500X RS-R ARGB Panoramic Mid-Tower PC Case – 3x Pre-Installed RS120-R ARGB Fans, GPU Anti-Sag Arm, Fits up to 10x 12",,74.99,,4.6,578,,https://www.amazon.co.uk/CORSAIR-3500X-RS-R-ARGB-Mid-Tower/dp/B0FJ2ZBK8J/ref=zg_bs_g_430498031_d_sccl_5/522-1500010-1872250,2026-09-25T16:02:01.344422
case,6,B0CJCJ3ZZB,Fractal Design North XL Charcoal Black TG- three 140mm Aspect PWM fans included- Type C USB- EATX airflow full tower PC gamin,96327021a50efe92,148.99,,4.8,972,,https://www.amazon.co.uk/Fractal-Design-North-Charcoal-Black/dp/B0CJCJ3ZZB/ref=zg_bs_g_430498031_d_sccl_6/522-1500010-1872250,2026-09-25T16:02:01.344422
case,7,B0DFHNV7TK,"CORSAIR FRAME 4000D RS ARGB Modular Mid-Tower ATX PC Case – High Airflow, 3x Pre-Installed RS ARGB Fans, InfiniRail™ Fan Moun",935d79de04a72bf4,87.99,,4.7,1902,,https://www.amazon.co.uk/CORSAIR-FRAME-4000D-Modular-Mid-Tower/dp/B0DFHNV7TK/ref=zg_bs_g_430498031_d_sccl_7/522-1500010-1872250,2026-09-25T16:02:01.344423
case,8,B0DQPMJ6MJ,"NZXT H3 Flow - Micro-ATX Airflow PC Case - Black | Space-efficient Micro-ATX case with optimized airflow, full-size GPU suppo",d8b1c652dfb3bfd0,39.98,,4.6,703,,https://www.amazon.co.uk/NZXT-Flow-Full-Sized-Back-Connect-Motherboard/dp/B0DQPMJ6MJ/ref=zg_bs_g_430498031_d_sccl_8/522-1500010-1872250,2026-09-25T16:02:01.344424
case,9,B0CXQ664BW,"MSI MAG FORGE 321R AIRFLOW Mid-Tower PC Case - ATX Capacity, RTX 40 GPU Support, ARGB Fans, Magnetic Dust Filters, Tempered G",03058c6eafb9fdb3,69.99,,4.6,169,,https://www.amazon.co.uk/MSI-FORGE-321R-AIRFLOW-Mid-Tower/dp/B0CXQ664BW/ref=zg_bs_g_430498031_d_sccl_9/522-1500010-1872250,2026-09-25T16:02:01.344425
case,10,B0DFS88R2L,Lian Li A3 mATX PC Case – Black – Wood Front Panel – SFX/ATX PSU Support – 4 Slot GPU – High Airflow Compact Chassis,db21718a708b957f,71.95,,4.7,546,,https://www.amazon.co.uk/Lian-Li-A3-mATX-Micro-ATX-Case-Black/dp/B0DFS88R2L/ref=zg_bs_g_430498031_d_sccl_10/522-1500010-1872250,2026-09-25T16:02:01.344425
