category,list_name,asin,title,url,image_url,rank,cpk,rating,review_count,price,rrp,sales_velocity,captured_at
case,Computer Cases,B0D2MK6NML,"NZXT H5 Flow - Compact ATX Mid-Tower PC Case - Black | Compact mid-tower with 2 included 120mm fans, 360mm front radiator sup",https://www.amazon.co.uk/NZXT-H5-Flow-Mid-Tower-Management/dp/B0D2MK6NML/ref=zg_bs_g_430498031_d_sccl_1/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/51wAv5q4adL._AC_UL600_SR600,400_.jpg",1,,4.6,1197,49.99,,,2026-09-25 11:38:55.208048
case,Computer Cases,B0CZVDHZFD,CORSAIR iCUE LINK 3500X RGB Mid-Tower ATX PC Case – Panoramic Tempered Glass – Reverse Connection Motherboard Compatible – 3x,https://www.amazon.co.uk/CORSAIR-iCUE-LINK-3500X-Mid-Tower/dp/B0CZVDHZFD/ref=zg_bs_g_430498031_d_sccl_2/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/815nH-NoRfL._AC_UL600_SR600,400_.jpg",2,,4.7,664,81.38,,,2026-09-25 11:38:55.208051
case,Computer Cases,B0C89FCDFP,NZXT H6 Flow | CC-H61FB-01 | Compact Dual-Chamber Mid-Tower Airflow Case | Panoramic Glass Panels | High-Performance Airflow,https://www.amazon.co.uk/NZXT-CC-H61FB-01-Dual-Chamber-High-Performance-Management/dp/B0C89FCDFP/ref=zg_bs_g_430498031_d_sccl_3/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71x+i8yRgrL._AC_UL600_SR600,400_.jpg",3,,4.8,3070,59.99,,,2026-09-25 11:38:55.208052
case,Computer Cases,B0FWCHZCTV,"PCZZOI ARGB Panoramic Mid-Tower PC Case – 7x Pre-Installed Fans, Mid Tower Computer Case with Full-View Dual Tempered Glass,",https://www.amazon.co.uk/PCZZOI-Pre-Installed-Computer-Full-View-P4-Black-7-Infinity-Mirror-PWM-ARGB-CASE-Fans/dp/B0FWCHZCTV/ref=zg_bs_g_430498031_d_sccl_4/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/816qXYJr42L._AC_UL600_SR600,400_.jpg",4,5b188734e3dbfc3d,4.4,117,50.99,,,2026-09-25 11:38:55.208053
case,Computer Cases,B0FJ2ZBK8J,"CORSAIR 3500X RS-R ARGB Panoramic Mid-Tower PC Case – 3x Pre-Installed RS120-R ARGB Fans, GPU Anti-Sag Arm, Fits up to 10x 12",https://www.amazon.co.uk/CORSAIR-3500X-RS-R-ARGB-Mid-Tower/dp/B0FJ2ZBK8J/ref=zg_bs_g_430498031_d_sccl_5/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/617cgWIs-mL._AC_UL600_SR600,400_.jpg",5,4f85c1bc3d81cba5,4.6,578,74.99,,,2026-09-25 11:38:55.208053
case,Computer Cases,B0CJCJ3ZZB,Fractal Design North XL Charcoal Black TG- three 140mm Aspect PWM fans included- Type C USB- EATX airflow full tower PC gamin,https://www.amazon.co.uk/Fractal-Design-North-Charcoal-Black/dp/B0CJCJ3ZZB/ref=zg_bs_g_430498031_d_sccl_6/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71IyDaBF8RL._AC_UL600_SR600,400_.jpg",6,,4.8,972,148.99,,,2026-09-25 11:38:55.208054
case,Computer Cases,B0DFHNV7TK,"CORSAIR FRAME 4000D RS ARGB Modular Mid-Tower ATX PC Case – High Airflow, 3x Pre-Installed RS ARGB Fans, InfiniRail™ Fan Moun",https://www.amazon.co.uk/CORSAIR-FRAME-4000D-Modular-Mid-Tower/dp/B0DFHNV7TK/ref=zg_bs_g_430498031_d_sccl_7/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61-u3G8Bg9L._AC_UL600_SR600,400_.jpg",7,,4.7,1902,87.99,,,2026-09-25 11:38:55.208055
case,Computer Cases,B0DQPMJ6MJ,"NZXT H3 Flow - Micro-ATX Airflow PC Case - Black | Space-efficient Micro-ATX case with optimized airflow, full-size GPU suppo",https://www.amazon.co.uk/NZXT-Flow-Full-Sized-Back-Connect-Motherboard/dp/B0DQPMJ6MJ/ref=zg_bs_g_430498031_d_sccl_8/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61+360v8grL._AC_UL600_SR600,400_.jpg",8,db30f7e0c1556a85,4.6,702,39.98,,,2026-09-25 11:38:55.208056
case,Computer Cases,B0CXQ664BW,"MSI MAG FORGE 321R AIRFLOW Mid-Tower PC Case - ATX Capacity, RTX 40 GPU Support, ARGB Fans, Magnetic Dust Filters, Tempered G",https://www.amazon.co.uk/MSI-FORGE-321R-AIRFLOW-Mid-Tower/dp/B0CXQ664BW/ref=zg_bs_g_430498031_d_sccl_9/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/719vOY+xxjL._AC_UL600_SR600,400_.jpg",9,03058c6eafb9fdb3,4.6,169,69.99,,,2026-09-25 11:38:55.208056
case,Computer Cases,B0DFS88R2L,Lian Li A3 mATX PC Case – Black – Wood Front Panel – SFX/ATX PSU Support – 4 Slot GPU – High Airflow Compact Chassis,https://www.amazon.co.uk/Lian-Li-A3-mATX-Micro-ATX-Case-Black/dp/B0DFS88R2L/ref=zg_bs_g_430498031_d_sccl_10/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/712mtAGWfaL._AC_UL600_SR600,400_.jpg",10,db21718a708b957f,4.7,546,71.95,,,2026-09-25 11:38:55.208057
