category,rank,asin,bestseller_title,bestseller_url,captured_at,audit_reason,marketplace_listing_id,marketplace_category,marketplace_cpk,marketplace_cpk_identity_category,marketplace_title
case,2,B0CZVDHZFD,CORSAIR iCUE LINK 3500X RGB Mid-Tower ATX PC Case – Panoramic Tempered Glass – Reverse Connection Motherboard Compatible – 3x,https://www.amazon.co.uk/CORSAIR-iCUE-LINK-3500X-Mid-Tower/dp/B0CZVDHZFD/ref=zg_bs_g_430498031_d_sccl_2/524-3698123-6031407,2026-09-25 11:38:55.208051,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,2,B0CZVDHZFD,CORSAIR iCUE LINK 3500X RGB Mid-Tower ATX PC Case – Panoramic Tempered Glass – Reverse Connection Motherboard Compatible – 3x,https://www.amazon.co.uk/CORSAIR-iCUE-LINK-3500X-Mid-Tower/dp/B0CZVDHZFD/ref=zg_bs_g_430498031_d_sccl_2/525-2893768-2677554,2026-09-25 12:58:30.007346,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,19,B09DKMQ5L1,Fractal Design Terra Graphite - Wood Walnut front panel - Small form factor - mITX gaming case – PCIe 4.0 riser cable – USB T,https://www.amazon.co.uk/Fractal-Design-Terra-Graphite/dp/B09DKMQ5L1/ref=zg_bs_g_430498031_d_sccl_19/524-3698123-6031407,2026-09-25 11:38:55.208063,Existing CPK identity rejected by identity quality guards,B09DKMQ5L1,case,d5d22616dbdffcc1,case,Fractal Design Terra Graphite - Wood Walnut front panel - Small form factor - mITX gaming case – PCIe 4.0 riser cable – USB Type-C - Anodized aluminum panels
case,19,B09DKMQ5L1,Fractal Design Terra Graphite - Wood Walnut front panel - Small form factor - mITX gaming case – PCIe 4.0 riser cable – USB T,https://www.amazon.co.uk/Fractal-Design-Terra-Graphite/dp/B09DKMQ5L1/ref=zg_bs_g_430498031_d_sccl_19/525-2893768-2677554,2026-09-25 12:58:30.007360,Existing CPK identity rejected by identity quality guards,B09DKMQ5L1,case,d5d22616dbdffcc1,case,Fractal Design Terra Graphite - Wood Walnut front panel - Small form factor - mITX gaming case – PCIe 4.0 riser cable – USB Type-C - Anodized aluminum panels
case,21,B0GSBW9HZT,"Phanteks EX5 Plus ATX Chamber Case, 360 AIO Included - Black | Compartmentalised ATX case with integrated 360mm AIO, hidden t",https://www.amazon.co.uk/Phanteks-Plus-Chamber-Case-Included/dp/B0GSBW9HZT/ref=zg_bs_g_430498031_d_sccl_21/524-3698123-6031407,2026-09-25 11:38:55.208065,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,21,B0GSBW9HZT,"Phanteks EX5 Plus ATX Chamber Case, 360 AIO Included - Black | Compartmentalised ATX case with integrated 360mm AIO, hidden t",https://www.amazon.co.uk/Phanteks-Plus-Chamber-Case-Included/dp/B0GSBW9HZT/ref=zg_bs_g_430498031_d_sccl_21/525-2893768-2677554,2026-09-25 12:58:30.007361,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,25,B0C59W6JKD,"AL01 Open Frame Computer case DIY PC Test Bench for ATX M-Board,1Pc | Open Air Design for Heat Dissipation Supports ATX Power",https://www.amazon.co.uk/ALAMENGDA-Computer-Motherboards-Dissipation-Accessories-Black/dp/B0C59W6JKD/ref=zg_bs_g_430498031_d_sccl_25/524-3698123-6031407,2026-09-25 11:38:55.208068,"Exact Amazon listing exists, but it has no durable CPK assignment",B0C59W6JKD,,,,"AL01 Open Frame Computer case DIY PC Test Bench for ATX M-Board,1Pc"
case,25,B0C59W6JKD,"AL01 Open Frame Computer case DIY PC Test Bench for ATX M-Board,1Pc | Open Air Design for Heat Dissipation Supports ATX Power",https://www.amazon.co.uk/ALAMENGDA-Computer-Motherboards-Dissipation-Accessories-Black/dp/B0C59W6JKD/ref=zg_bs_g_430498031_d_sccl_25/525-2893768-2677554,2026-09-25 12:58:30.007365,"Exact Amazon listing exists, but it has no durable CPK assignment",B0C59W6JKD,,,,"AL01 Open Frame Computer case DIY PC Test Bench for ATX M-Board,1Pc"
case,30,B0BHJGSMC1,Veno Scorp Gaming PC Bundle i3 GTX 750 4GB 8GB RAM 500GB HDD NOVA | Built for smooth everyday gaming — GTX 750 4GB delivers r,https://www.amazon.co.uk/Veno-Scorp-Budget-Gaming-Bundle/dp/B0BHJGSMC1/ref=zg_bs_g_430498031_d_sccl_30/524-3698123-6031407,2026-09-25 11:38:55.208071,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,30,B0BHJGSMC1,Veno Scorp Gaming PC Bundle i3 GTX 750 4GB 8GB RAM 500GB HDD NOVA | Built for smooth everyday gaming — GTX 750 4GB delivers r,https://www.amazon.co.uk/Veno-Scorp-Budget-Gaming-Bundle/dp/B0BHJGSMC1/ref=zg_bs_g_430498031_d_sccl_30/525-2893768-2677554,2026-09-25 12:58:30.007369,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,31,B07BBFRLNJ,"GeeekPi ABS Case for Raspberry Pi 3B/3B+, with 30mm Fan 30X30X7mm and 3pcs Heatsinks for Raspberry Pi 3 Model B/B+ (Black)",https://www.amazon.co.uk/GeeekPi-Raspberry-Cooling-Heatsinks-Include/dp/B07BBFRLNJ/ref=zg_bs_g_430498031_d_sccl_31/524-3698123-6031407,2026-09-25 11:38:55.208072,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,31,B07BBFRLNJ,"GeeekPi ABS Case for Raspberry Pi 3B/3B+, with 30mm Fan 30X30X7mm and 3pcs Heatsinks for Raspberry Pi 3 Model B/B+ (Black)",https://www.amazon.co.uk/GeeekPi-Raspberry-Cooling-Heatsinks-Include/dp/B07BBFRLNJ/ref=zg_bs_g_430498031_d_sccl_31/525-2893768-2677554,2026-09-25 12:58:30.007369,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,32,B074V35B6Y,"BONTEC Adjustable Under Desk PC Mount, Steel CPU Holder with 20 kg Capacity | Space-saving suspended design, secure straps fi",https://www.amazon.co.uk/BONTEC-Adjustable-Space-Saving-Computer-Installation-Black/dp/B074V35B6Y/ref=zg_bs_g_430498031_d_sccl_32/524-3698123-6031407,2026-09-25 11:38:55.208073,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,32,B074V35B6Y,"BONTEC Adjustable Under Desk PC Mount, Steel CPU Holder with 20 kg Capacity | Space-saving suspended design, secure straps fi",https://www.amazon.co.uk/BONTEC-Adjustable-Space-Saving-Computer-Installation-Black/dp/B074V35B6Y/ref=zg_bs_g_430498031_d_sccl_32/525-2893768-2677554,2026-09-25 12:58:30.007370,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,34,B0C98SZCSG,"Montech AIR 903 MAX Midi-Tower, Tempered Glass - Weiß",https://www.amazon.co.uk/Montech-AIR-903-MAX-Midi-Tower/dp/B0C98SZCSG/ref=zg_bs_g_430498031_d_sccl_34/524-3698123-6031407,2026-09-25 11:38:55.208074,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,34,B0C98SZCSG,"Montech AIR 903 MAX Midi-Tower, Tempered Glass - Weiß",https://www.amazon.co.uk/Montech-AIR-903-MAX-Midi-Tower/dp/B0C98SZCSG/ref=zg_bs_g_430498031_d_sccl_34/525-2893768-2677554,2026-09-25 12:58:30.007372,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,42,B0F74LMG5R,"Lian Li Lancool 217 PC Case Black | ATX Mid Tower, Tempered Glass, 5 Fans, Walnut Wood Accents, Mesh Front, Back-Connect Comp",https://www.amazon.co.uk/Lian-Li-217-Back-Connect-Compatible-Black/dp/B0F74LMG5R/ref=zg_bs_g_430498031_d_sccl_42/524-3698123-6031407,2026-09-25 11:38:55.208080,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,42,B0F74LMG5R,"Lian Li Lancool 217 PC Case Black | ATX Mid Tower, Tempered Glass, 5 Fans, Walnut Wood Accents, Mesh Front, Back-Connect Comp",https://www.amazon.co.uk/Lian-Li-217-Back-Connect-Compatible-Black/dp/B0F74LMG5R/ref=zg_bs_g_430498031_d_sccl_42/525-2893768-2677554,2026-09-25 12:58:30.007378,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,43,B07X9R8V96,"GeeekPi Raspberry Pi 4 ABS Case with PWM Fan, 4PCS Heatsinks and 5V 3.6A USB-C Power Supply UK Power Adapter for Raspberry Pi",https://www.amazon.co.uk/GeeekPi-Raspberry-Adapter-40X40X10mm-Heatsinks/dp/B07X9R8V96/ref=zg_bs_g_430498031_d_sccl_43/524-3698123-6031407,2026-09-25 11:38:55.208080,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,43,B07X9R8V96,"GeeekPi Raspberry Pi 4 ABS Case with PWM Fan, 4PCS Heatsinks and 5V 3.6A USB-C Power Supply UK Power Adapter for Raspberry Pi",https://www.amazon.co.uk/GeeekPi-Raspberry-Adapter-40X40X10mm-Heatsinks/dp/B07X9R8V96/ref=zg_bs_g_430498031_d_sccl_43/525-2893768-2677554,2026-09-25 12:58:30.007379,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,49,B0HB93XJRK,"NZXT S5 RGB Compact ATX Mid-Tower PC Case - White | Panoramic Dual Tempered Glass, Pre-Installed 360 mm RGB Reverse Fan, Up t",https://www.amazon.co.uk/NZXT-RGB-Compact-Mid-Tower-Case-White/dp/B0HB93XJRK/ref=zg_bs_g_430498031_d_sccl_49/524-3698123-6031407,2026-09-25 11:38:55.208085,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,49,B0HB93XJRK,"NZXT S5 RGB Compact ATX Mid-Tower PC Case - White | Panoramic Dual Tempered Glass, Pre-Installed 360 mm RGB Reverse Fan, Up t",https://www.amazon.co.uk/NZXT-RGB-Compact-Mid-Tower-Case-White/dp/B0HB93XJRK/ref=zg_bs_g_430498031_d_sccl_49/525-2893768-2677554,2026-09-25 12:58:30.007383,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,54,B08HX4PZ4Y,"280x140mm Magnetic PC Fan Dust Filter Cover Mesh, Black (2 Pack) | Ultra-fine PVC mesh computer case grill cover with magneti",https://www.amazon.co.uk/280mm-Computer-Filter-Grills-Magnetic/dp/B08HX4PZ4Y/ref=zg_bs_g_430498031_d_sccl_4/524-3698123-6031407,2026-09-25 11:38:55.208088,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,54,B08HX4PZ4Y,"280x140mm Magnetic PC Fan Dust Filter Cover Mesh, Black (2 Pack) | Ultra-fine PVC mesh computer case grill cover with magneti",https://www.amazon.co.uk/280mm-Computer-Filter-Grills-Magnetic/dp/B08HX4PZ4Y/ref=zg_bs_g_430498031_d_sccl_4/525-2893768-2677554,2026-09-25 12:58:30.007387,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,56,B0C6PBY5H3,RLSOCO Mini PC Desktop Case for NiPoGi/BOSGAME/GEEKOM/Beelink (Case Only) | Hard Travel Case for Most Mini PC Computer Deskto,https://www.amazon.co.uk/RLSOCO-Desktop-Computer-Beelink-MINI-S12/dp/B0C6PBY5H3/ref=zg_bs_g_430498031_d_sccl_6/524-3698123-6031407,2026-09-25 11:38:55.208090,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,56,B0C6PBY5H3,RLSOCO Mini PC Desktop Case for NiPoGi/BOSGAME/GEEKOM/Beelink (Case Only) | Hard Travel Case for Most Mini PC Computer Deskto,https://www.amazon.co.uk/RLSOCO-Desktop-Computer-Beelink-MINI-S12/dp/B0C6PBY5H3/ref=zg_bs_g_430498031_d_sccl_6/525-2893768-2677554,2026-09-25 12:58:30.007388,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,59,B0CMZCG8P7,"GeeekPi Raspberry Pi 5 Aluminum Case with Official Active Cooler, Support PCIe M.2 NVMe SSD Shield Top X1001 / X1003 / X1000",https://www.amazon.co.uk/GeeekPi-Raspberry-Aluminum-Official-Support/dp/B0CMZCG8P7/ref=zg_bs_g_430498031_d_sccl_9/524-3698123-6031407,2026-09-25 11:38:55.208092,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,59,B0CMZCG8P7,"GeeekPi Raspberry Pi 5 Aluminum Case with Official Active Cooler, Support PCIe M.2 NVMe SSD Shield Top X1001 / X1003 / X1000",https://www.amazon.co.uk/GeeekPi-Raspberry-Aluminum-Official-Support/dp/B0CMZCG8P7/ref=zg_bs_g_430498031_d_sccl_9/525-2893768-2677554,2026-09-25 12:58:30.007390,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,60,B0BHJHVKR6,Veno Scorp Gaming PC Bundle i5 GT 710 2GB 8GB RAM 500GB HDD NOVA | Built for smooth everyday gaming — GT 710 2GB delivers rel,https://www.amazon.co.uk/Veno-Scorp-Budget-Gaming-Bundle/dp/B0BHJHVKR6/ref=zg_bs_g_430498031_d_sccl_10/524-3698123-6031407,2026-09-25 11:38:55.208093,No exact ASIN listing found in current Amazon marketplace scores,,,,,
case,60,B0BHJHVKR6,Veno Scorp Gaming PC Bundle i5 GT 710 2GB 8GB RAM 500GB HDD NOVA | Built for smooth everyday gaming — GT 710 2GB delivers rel,https://www.amazon.co.uk/Veno-Scorp-Budget-Gaming-Bundle/dp/B0BHJHVKR6/ref=zg_bs_g_430498031_d_sccl_10/525-2893768-2677554,2026-09-25 12:58:30.007391,No exact ASIN listing found in current Amazon marketplace scores,,,,,
