component_type,search_term,tags,playbook_ids,default_or_upsell
CPU / APU,AMD Ryzen 5 5600,Curated,FF-GVG-01,default
CPU / APU,AMD Ryzen 5 5600G,Curated,FF-BOF-01; FF-FAM-01,default
CPU / APU,AMD Ryzen 5 9600X,Curated; ASIN:B0D6NN6TM7,FF-AIW-01; FF-FAM-01; FF-FAM-02; FF-GVG-01; FF-GVG-02; FF-STU-02; FF-SWD-01,upsell
CPU / APU,AMD Ryzen 7 7800X3D,Curated; ASIN:B0CTD76W9C,FF-HPG-01; FF-HPG-02,upsell
CPU / APU,AMD Ryzen 7 9700X,Curated; ASIN:B0D6NMDNNX,FF-FAM-02; FF-FAM-03,upsell
CPU / APU,AMD Ryzen 7 9800X3D,Curated,FF-GVG-02; FF-GVG-03,upsell
CPU / APU,AMD Ryzen 7 9850X3D,Curated; ASIN:B0G8JMLXNQ,FF-HPG-02; FF-HPG-03,upsell
CPU / APU,AMD Ryzen 9 9950X,Curated; ASIN:B0D6NNRBGP,FF-AIW-01; FF-AIW-02; FF-CCR-02; FF-CCR-03; FF-SWD-02; FF-SWD-03,upsell
CPU / APU,AMD Ryzen Threadripper PRO 7975WX,Curated,FF-AIW-02; FF-AIW-03,upsell
CPU / APU,Intel Core Ultra 5 250K Plus,Curated,FF-BOF-01; FF-BOF-02; FF-CCR-01; FF-HPG-01,upsell
CPU / APU,Intel Core Ultra 7 270K Plus,Curated,FF-CCR-01; FF-CCR-02; FF-STU-02; FF-STU-03; FF-SWD-01; FF-SWD-02,upsell
CPU cooling,AMD Wraith Stealth,Curated,FF-BOF-01; FF-FAM-01,default
CPU cooling,Arctic Liquid Freezer III 240,Curated,FF-CCR-01; FF-GVG-02; FF-GVG-03; FF-STU-02; FF-STU-03,upsell
CPU cooling,Arctic Liquid Freezer III 360,Curated,FF-AIW-01; FF-AIW-02; FF-CCR-01; FF-CCR-02; FF-HPG-02; FF-HPG-03; FF-SWD-03,upsell
CPU cooling,Arctic Liquid Freezer III 420,Curated,FF-CCR-02; FF-CCR-03,upsell
CPU cooling,Noctua NH-D15 G2,Curated,FF-SWD-01; FF-SWD-02,upsell
CPU cooling,Noctua NH-U12S redux,Curated,FF-BOF-01; FF-BOF-02,upsell
CPU cooling,Noctua NH-U14S TR5-SP6,Curated,FF-AIW-02; FF-AIW-03,upsell
CPU cooling,Thermalright Aqua Elite 240 V3,Curated,FF-FAM-02; FF-FAM-03; FF-HPG-02,upsell
