token_symbol,internal_in_usd_then,internal_out_usd_then,internal_net_usd_then,internal_in_gbp_then,internal_out_gbp_then,internal_net_gbp_then
AIOT,0.0,9.24,-9.24,0.0,7.65,-7.65
AVAX,0.0,0.0,0.0,0.0,0.0,0.0
BABY,811.82,0.0,811.82,671.52,0.0,671.52
BABY-LP,0.0,0.0,0.0,0.0,0.0,0.0
BCOIN,0.0,80.2,-80.2,0.0,66.34,-66.34
BIFI,2788.27,0.0,2788.27,2306.41,0.0,2306.41
BNBLION,96.91,0.0,96.91,80.16,0.0,80.16
BNBX,6.49,3.25,3.25,5.37,2.68,2.68
BNBX+BNB,3.25,0.0,3.25,2.68,0.0,2.68
BOMB,357.2,0.0,357.2,295.47,0.0,295.47
BSHARE,357.2,0.0,357.2,295.47,0.0,295.47
BSW,421.94,209.91,212.03,349.02,173.64,175.38
BSW-LP,82.97,0.0,82.97,68.63,0.0,68.63
BTCB,584.23,0.0,584.23,483.27,0.0,483.27
BUSD,3895.71,0.0,3895.71,3222.47,0.0,3222.47
CAKE,1038.94,0.0,1038.94,859.39,0.0,859.39
CAKE-LP,1240.0,0.0,1240.0,1025.71,0.0,1025.71
CONE,129.83,0.0,129.83,107.39,0.0,107.39
DAYL,0.0,1067.39,-1067.39,0.0,882.93,-882.93
DAYL MAXI,0.0,0.0,0.0,0.0,0.0,0.0
DAYL-BUSD,0.0,0.0,0.0,0.0,0.0,0.0
DAYLIGHT-LP,533.69,0.0,533.69,441.46,0.0,441.46
DIBS,451.57,286.25,165.32,373.53,236.78,136.75
DSHARE,113.65,56.69,56.96,94.01,46.89,47.12
EMP,0.0,0.0,0.0,0.0,0.0,0.0
ESHARE,0.0,0.0,0.0,0.0,0.0,0.0
ETH,0.0,0.0,0.0,0.0,0.0,0.0
FIGHT,194.84,0.0,194.84,161.17,0.0,161.17
FTM,245.26,0.0,245.26,202.88,0.0,202.88
JTT,0.0,0.0,0.0,0.0,0.0,0.0
KIWI,0.0,0.0,0.0,0.0,0.0,0.0
KMF,64.91,0.0,64.91,53.69,0.0,53.69
LINK,78.71,0.0,78.71,65.11,0.0,65.11
LSC,487.09,0.0,487.09,402.91,0.0,402.91
MAGIKFARM-ORB-WBNB,0.0,0.0,0.0,0.0,0.0,0.0
MASS,402.47,0.0,402.47,332.92,0.0,332.92
MOOBABYAVAX-USDT,0.0,0.0,0.0,0.0,0.0,0.0
MOOBABYBABY-USDT,0.0,0.0,0.0,0.0,0.0,0.0
MOOBABYFTM-USDT,0.0,0.0,0.0,0.0,0.0,0.0
MOOBISWAPETH-BTCB,0.0,0.0,0.0,0.0,0.0,0.0
MOOCAKEV2BSW-BNB,0.0,0.0,0.0,0.0,0.0,0.0
MOOCAKEV2WOM-BUSD,0.0,0.0,0.0,0.0,0.0,0.0
MOOCONECONE-BNB,0.0,0.0,0.0,0.0,0.0,0.0
MOODIBSDIBS-BNB,62.85,0.0,62.85,51.99,0.0,51.99
MOODIBSDSHARE-BNB,0.0,0.0,0.0,0.0,0.0,0.0
MOOELLIPSISBNBX,0.0,0.0,0.0,0.0,0.0,0.0
MOOEMPESHARE-BNB,12173.3,0.0,12173.3,10069.56,0.0,10069.56
MOORIPAEPBNB-BNB,3772.67,0.0,3772.67,3120.69,0.0,3120.69
MOORIPAEPPAE-BNB,7965.24,0.0,7965.24,6588.72,0.0,6588.72
MOOVALASVALAS-BNB,519.57,0.0,519.57,429.78,0.0,429.78
NEURONMM,324.57,0.0,324.57,268.48,0.0,268.48
ONE,7480.83,0.0,7480.83,6188.03,0.0,6188.03
ORB,129.83,0.0,129.83,107.39,0.0,107.39
ORB-LP,0.0,0.0,0.0,0.0,0.0,0.0
PAE,0.0,0.0,0.0,0.0,0.0,0.0
PBNB,578.33,82.97,495.36,478.39,68.63,409.75
PCS-V3-POS,9.24,0.0,9.24,7.65,0.0,7.65
PXA,0.0,0.0,0.0,0.0,0.0,0.0
RMOOBEEFYPANCAKEWBNB-SHELL,0.0,0.0,0.0,0.0,0.0,0.0
SAFUU,68945.36,0.0,68945.36,57030.52,0.0,57030.52
SGO,56200.03,0.0,56200.03,46487.78,0.0,46487.78
SHELL,0.0,0.0,0.0,0.0,0.0,0.0
SOL,4.22,0.0,4.22,3.49,0.0,3.49
TWO,0.0,0.0,0.0,0.0,0.0,0.0
USDC,1.62,0.0,1.62,1.34,0.0,1.34
USDT,6148.3,1.62,6146.68,5085.78,1.34,5084.43
VALAS,519.57,0.0,519.57,429.78,0.0,429.78
VAMM-CONE/WBNB,0.0,0.0,0.0,0.0,0.0,0.0
VETTER,52.23,0.0,52.23,43.2,0.0,43.2
VSL,558.09,0.0,558.09,461.64,0.0,461.64
WBNB,62.85,0.0,62.85,51.99,0.0,51.99
WOM,64.91,0.0,64.91,53.69,0.0,53.69
XRP,480.36,0.0,480.36,397.35,0.0,397.35
