grouping,token_symbol,token_name,tx_count,money_into_token_bnb,money_into_token_usd_then,money_into_token_gbp_then
OTHER,AIOT,OKZOO,5,0.01424137,9.24,6.86
STABLEFUND_STABLECOIN,ANYUSDT,Binance-Peg BSC-USD,1,0.0,0.0,0.0
OTHER,AVAX,Avalanche,2,0.0,0.0,0.0
OTHER,BABY,BabySwap Token,16,1.25,811.82,618.65
OTHER,BABY-LP,Baby LPs,16,0.0,0.0,0.0
OTHER,BCOIN,Bomber Coin,6,0.12355946,80.2,59.88
OTHER,BIFI,beefy.finance,8,4.29395584,2788.27,2116.51
OTHER,BNBLION,Bnb LION Inu,2,0.14929637,96.91,78.35
OTHER,BNBX,Liquid Staking BNB,2,0.015,9.73,8.41
OTHER,BNBX+BNB,BNBx/BNB,4,0.005,3.25,2.8
OTHER,BOMB,bomb.money,3,0.55,357.2,284.36
OTHER,BSHARE,BSHARE,2,0.55,357.2,284.36
OTHER,BSW,Biswap,4,0.97337323,631.86,481.07
OTHER,BSW-LP,Biswap LPs,22,0.12781506,82.97,67.21
OTHER,BTCB,BTCB Token,9,0.9,584.23,465.1
STABLEFUND_STABLECOIN,BUSD,BUSD Token,111,6.00093164,3895.71,3135.35
OTHER,CAKE,PancakeSwap Token,14,1.6,1038.94,769.98
OTHER,CAKE-LP,Pancake LPs,57,1.91007059,1240.0,976.38
OTHER,CONE,Cone token,4,0.2,129.83,112.13
OTHER,DAYL,Daylight,13,1.23323174,800.54,651.64
OTHER,DAYL MAXI,Daylight MAXI,2,0.0,0.0,0.0
STABLEFUND_STABLECOIN,DAYL-BUSD,Daylight-BUSD,2,0.0,0.0,0.0
OTHER,DAYLIGHT-LP,Daylight LPs,10,1.23323174,800.54,651.64
OTHER,DIBS,dibs.money,12,1.13649483,737.82,551.8
OTHER,DSHARE,DSHARE,8,0.26229181,170.34,126.66
OTHER,EMP,emp.money,2,0.0,0.0,0.0
OTHER,ESHARE,ESHARE,23,0.0,0.0,0.0
OTHER,ETH,Ethereum Token,6,0.0,0.0,0.0
OTHER,FIGHT,Fight Token,6,0.3,194.84,143.76
OTHER,FTM,Fantom,6,0.37763242,245.26,183.29
OTHER,JTT,Justus Token,1,0.0,0.0,0.0
OTHER,KIWI,kiwi,16,0.0,0.0,0.0
OTHER,KMF,Kiwi Middle Finger NFTs,4,0.1,64.91,52.03
OTHER,LINK,ChainLink Token,2,0.12125651,78.71,58.01
OTHER,LSC,LegendarySafuuClub,1,0.75,487.09,429.07
OTHER,MAGIKFARM-ORB-WBNB,MagikFarm-ORB-WBNB,1,0.0,0.0,0.0
OTHER,MASS,Momentum,36,0.62,402.47,335.55
STABLEFUND_STABLECOIN,MOOBABYAVAX-USDT,Moo Baby AVAX-USDT,2,0.0,0.0,0.0
STABLEFUND_STABLECOIN,MOOBABYBABY-USDT,Moo Baby BABY-USDT,4,0.0,0.0,0.0
STABLEFUND_STABLECOIN,MOOBABYFTM-USDT,Moo Baby FTM-USDT,4,0.0,0.0,0.0
OTHER,MOOBISWAPETH-BTCB,Moo BiSwap ETH-BTCB,6,0.0,0.0,0.0
OTHER,MOOCAKEV2BSW-BNB,Moo CakeV2 BSW-BNB,2,0.0,0.0,0.0
STABLEFUND_STABLECOIN,MOOCAKEV2WOM-BUSD,Moo CakeV2 WOM-BUSD,2,0.0,0.0,0.0
OTHER,MOOCONECONE-BNB,Moo Cone CONE-BNB,2,0.0,0.0,0.0
OTHER,MOODIBSDIBS-BNB,Moo Dibs DIBS-BNB,8,0.09678291,62.85,46.29
OTHER,MOODIBSDSHARE-BNB,Moo Dibs DSHARE-BNB,4,0.0,0.0,0.0
OTHER,MOOELLIPSISBNBX,Moo Ellipsis BNBx,2,0.0,0.0,0.0
OTHER,MOOEMPESHARE-BNB,Moo Emp ESHARE-BNB,15,18.74917438,12173.3,9614.96
OTHER,MOORIPAEPBNB-BNB,Moo Ripae pBNB-BNB,7,5.80968546,3772.67,3054.52
OTHER,MOORIPAEPPAE-BNB,Moo Ripae PAE-BNB,10,12.26722292,7965.24,6463.72
OTHER,MOOVALASVALAS-BNB,Moo ValasVALAS-BNB,2,0.8,519.57,396.0
OTHER,NEURONMM,Neuron Market Maker,2,0.5,324.57,255.64
OTHER,NO_TOKEN_LOG,No token transfer log attributed,648,107.15915476,69570.51,56471.11
OTHER,ONE,One Token,33,11.5242229,7480.83,6018.46
OTHER,ORB,OrbitalSwap Token,2,0.2,129.83,106.93
OTHER,ORB-LP,Orbital LPs,2,0.0,0.0,0.0
OTHER,PAE,Ripae,10,0.0,0.0,0.0
OTHER,PBNB,pBNB,8,1.01829296,661.3,534.06
OTHER,PCS-V3-POS,Pancake V3 Positions NFT-V1,1,0.01424137,9.24,6.86
OTHER,PXA,Prosperous XRP Arbitrage,2,0.0,0.0,0.0
OTHER,RMOOBEEFYPANCAKEWBNB-SHELL,Reward Moo Beefy Pancake WBNB-SHELL,2,0.0,0.0,0.0
SAFUU_PROJECTS,SAFUU,Safuu: SAFUU Token,143,106.19802822,68945.36,57994.32
SAFUU_PROJECTS,SGO,SGO,138,86.57620533,56200.03,44241.93
OTHER,SHELL,MyShell Token,2,0.0,0.0,0.0
OTHER,SOL,SOLANA,2,0.0065,4.22,3.41
OTHER,TWO,TWO Token,7,0.0,0.0,0.0
STABLEFUND_STABLECOIN,USDC,USD Coin,2,0.0025,1.62,1.29
STABLEFUND_STABLECOIN,USDT,Tether USD,117,9.47180676,6149.93,4775.35
OTHER,VALAS,Valas Finance Protocol Token,3,0.8,519.57,396.0
OTHER,VAMM-CONE/WBNB,VolatileV1 AMM - CONE/WBNB,2,0.0,0.0,0.0
OTHER,VETTER,Vetter Token,2,0.08045654,52.23,45.71
OTHER,VSL,Vetter Skylabs Token,9,0.85973151,558.09,482.39
OTHER,WBNB,Wrapped BNB,16,0.09678291,62.85,46.29
OTHER,WOM,Wombat Token,4,0.1,64.91,56.06
OTHER,XRP,XRP Token,5,0.74,480.36,366.36
