month,tx_count,project_match_count,in_bnb,out_bnb,net_bnb,in_usd_then,out_usd_then,net_usd_then,in_usd_today_est,out_usd_today_est,net_usd_today_est
2022-02,76,0,2.4504912,5.47182586,-3.02133466,1591.39,3552.78,-1961.39,1595.81,3563.36,-1967.55
2022-03,52,0,10.60866061,12.03417104,-1.42551043,6889.89,7815.69,-925.8,6908.57,7836.89,-928.32
2022-04,113,0,10.59655427,35.63479112,-25.03823685,6879.3,23137.35,-16258.05,6900.69,23206.09,-16305.4
2022-05,80,1,13.02752509,46.98053376,-33.95300867,8457.75,30503.68,-22045.93,8483.78,30594.66,-22110.88
2022-06,7,0,0.9095,1.05,-0.1405,590.67,681.92,-91.25,592.28,683.78,-91.5
2022-07,177,6,14.12443385,14.54890664,-0.42447279,9171.33,9446.93,-275.6,9198.11,9474.54,-276.43
2022-08,102,18,30.37749187,40.15792256,-9.78043069,19719.42,26068.52,-6349.1,19782.43,26151.64,-6369.21
2022-09,91,25,18.03646365,28.98818805,-10.9517244,11708.78,18821.49,-7112.71,11745.71,18877.69,-7131.98
2022-10,120,48,8.8456399,20.31451909,-11.46887919,5742.36,13189.69,-7447.33,5760.46,13229.22,-7468.76
2022-11,54,15,3.56530532,22.10593214,-18.54062681,2315.47,14351.18,-12035.71,2321.8,14395.83,-12074.03
2022-12,106,10,0.119,5.46736033,-5.34836033,77.25,3549.08,-3471.83,77.5,3560.45,-3482.96
2023-01,53,12,0.019,2.6665,-2.6475,12.34,1730.93,-1718.59,12.37,1736.48,-1724.1
2023-02,10,0,0.3285,0.29454187,0.03395813,213.24,191.2,22.04,213.93,191.81,22.11
2023-03,6,0,1.49153084,1.51,-0.01846916,968.21,980.2,-11.99,971.31,983.34,-12.03
2023-04,102,13,4.46399992,32.63077248,-28.16677256,2897.75,21181.94,-18284.19,2907.05,21249.81,-18342.77
2023-05,84,17,0.0145033,10.37144364,-10.35694034,9.41,6732.53,-6723.12,9.44,6754.09,-6744.65
2023-06,151,98,7.0155,60.49463406,-53.47913406,4554.04,39269.45,-34715.41,4568.63,39395.32,-34826.68
2023-07,133,87,2.5092474,46.82432963,-44.31508223,1628.85,30395.53,-28766.68,1634.07,30492.94,-28858.87
2023-09,8,0,0.00060617,0.0,0.00060617,0.39,0.0,0.39,0.39,0.0,0.39
2023-11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03,2,0,0.0,0.005,-0.005,0.0,3.25,-3.25,0.0,3.26,-3.26
2024-04,2,0,0.0,0.08245439,-0.08245439,0.0,53.52,-53.52,0.0,53.7,-53.7
2024-09,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,1,0,0.0,0.02156757,-0.02156757,0.0,14.0,-14.0,0.0,14.05,-14.05
2025-08,22,0,0.01730136,0.20927733,-0.19197598,11.23,135.85,-124.62,11.27,136.29,-125.02
2025-10,8,0,0.00031103,0.0035,-0.00318897,0.2,2.27,-2.07,0.2,2.28,-2.08
